"Order","Name","Prefecture","Latitude","Longitude","Artwork","Official lid page"
"1","Utazu","Kagawa","34.3134259","133.8075257","https://local.pokemon.jp/img/p/manhole/46149907aafef8ebbb532d3adedfc0a6_l.png","https://local.pokemon.jp/en/manhole/desc/97/?is_modal=1"
"2","Otoyo","Kōchi","33.749067","133.684166","https://local.pokemon.jp/img/p/manhole/05938aa1104a2226b71dbc2b1e6de194_l.png","https://local.pokemon.jp/en/manhole/desc/392/?is_modal=1"
"3","Motoyama","Kōchi","33.75877","133.59448","https://local.pokemon.jp/img/p/manhole/9c0a595989dd526afbd07bf111d7a2d3_l.png","https://local.pokemon.jp/en/manhole/desc/452/?is_modal=1"
"4","Kami","Kōchi","33.695608","133.874784","https://local.pokemon.jp/img/p/manhole/9b80e14141a8c41fc519beaa1bde69f8_l.png","https://local.pokemon.jp/en/manhole/desc/390/?is_modal=1"
"5","Toyo","Kōchi","33.54316884","134.29495896722574","https://local.pokemon.jp/img/p/manhole/299ea9629aaed7f41bf1554d2a09b05a_l.png","https://local.pokemon.jp/en/manhole/desc/437/?is_modal=1"
"6","Muroto","Kōchi","33.325698","134.195181","https://local.pokemon.jp/img/p/manhole/d9bd03a57b3501b93226b157abadbb2d_l.png","https://local.pokemon.jp/en/manhole/desc/432/?is_modal=1"
"7","Nahari","Kōchi","33.425249","134.017781","https://local.pokemon.jp/img/p/manhole/9326f1ab7b66840ba918c10e7c8478b2_l.png","https://local.pokemon.jp/en/manhole/desc/391/?is_modal=1"
"8","Yasuda","Kōchi","33.47986","133.99983","https://local.pokemon.jp/img/p/manhole/902cc23866cd95b207c0938bbefff0dd_l.png","https://local.pokemon.jp/en/manhole/desc/451/?is_modal=1"
"9","Aki","Kōchi","33.5043207","133.9065445","https://local.pokemon.jp/img/p/manhole/551bad185b3f9a9d17c5f6f40d7febfc_l.png","https://local.pokemon.jp/en/manhole/desc/433/?is_modal=1"
"10","Konan","Kōchi","33.534367","133.75346","https://local.pokemon.jp/img/p/manhole/c1359eed647d0b370136b487d0854b70_l.png","https://local.pokemon.jp/en/manhole/desc/436/?is_modal=1"
"11","Kochi","Kōchi","33.56701662","133.5431367","https://local.pokemon.jp/img/p/manhole/c788095c5594cd56004ce5193f87f011_l.png","https://local.pokemon.jp/en/manhole/desc/449/?is_modal=1"
"12","Hidaka","Kōchi","33.5335561","133.3712561","https://local.pokemon.jp/img/p/manhole/4ac408636042cae5deaff75207b9bf30_l.png","https://local.pokemon.jp/en/manhole/desc/393/?is_modal=1"
"13","Niyodogawa","Kōchi","33.561104","133.129433","https://local.pokemon.jp/img/p/manhole/b616658313fb3050e2608e53805bbe69_l.png","https://local.pokemon.jp/en/manhole/desc/453/?is_modal=1"
"14","Tsuno","Kōchi","33.476856","133.004184","https://local.pokemon.jp/img/p/manhole/7fc86d8a52fce05b93042fe1a127342a_l.png","https://local.pokemon.jp/en/manhole/desc/394/?is_modal=1"
"15","Susaki","Kōchi","33.39238098","133.2926446","https://local.pokemon.jp/img/p/manhole/c4bd71337c16e241b3b9203a89f970e8_l.png","https://local.pokemon.jp/en/manhole/desc/434/?is_modal=1"
"16","Mihara","Kōchi","32.922536","132.83982","https://local.pokemon.jp/img/p/manhole/207a12127b5a99f94f0fa04d69543a4a_l.png","https://local.pokemon.jp/en/manhole/desc/396/?is_modal=1"
"17","Sukumo","Kōchi","32.915754","132.712575","https://local.pokemon.jp/img/p/manhole/d0827223105f6648da72d7595907c786_l.png","https://local.pokemon.jp/en/manhole/desc/435/?is_modal=1"
"18","Otsuki","Kōchi","32.767739","132.627259","https://local.pokemon.jp/img/p/manhole/31ea84ec8f10061d987ef8d7fc15c1da_l.png","https://local.pokemon.jp/en/manhole/desc/395/?is_modal=1"
"19","Tosashimizu","Kōchi","32.791142","132.862367","https://local.pokemon.jp/img/p/manhole/3ab25d9876c61cc403ff6fd8bb3987c8_l.png","https://local.pokemon.jp/en/manhole/desc/450/?is_modal=1"
